rollout/exploration_rate,rollout/ep_rew_mean,time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,status,time/total_timesteps,train/learning_rate,train/loss,train/n_updates
0.9353999999999998,-806.26063,4,1,27,136.0,-1.0,136,,,
0.9064249999999998,-410.603687,4,2,40,61.0,-1.0,197,,,
0.88505,-112.673251,4,3,49,45.0,-1.0,242,,,
0.8693749999999996,-339.889611,4,4,56,33.0,-1.0,275,,,
0.8494249999999997,-328.144986,4,5,64,42.0,-1.0,317,,,
0.7928999999999996,-6.276251,4,6,88,119.0,-1.0,436,,,
0.7154749999999996,-234.56163,4,7,121,163.0,-1.0,599,,,
0.6988500000000005,-373.041533,4,8,128,35.0,-1.0,634,,,
0.5948250000000004,-33.438325,4,9,172,219.0,-1.0,853,,,
0.5615749999999998,-719.933936,4,10,187,70.0,-1.0,923,,,
0.5425749999999998,312.447371,4,11,195,40.0,1.0,963,,,
0.30507499999999965,-279.781407,4,12,295,500.0,0.0,1463,0.0001,9.679118156433105,462
0.0675750000000005,96.018147,4,13,396,500.0,0.0,1963,0.0001,8.542200088500977,962
0.05,341.762515,4,14,496,500.0,0.0,2463,0.0001,9.859559059143066,1462
0.05,-192.749605,4,15,498,8.0,-1.0,2471,0.0001,7.190829277038574,1470
0.05,98.738006,4,16,598,500.0,0.0,2971,0.0001,7.794229984283447,1970
0.05,337.947253,4,17,698,500.0,0.0,3471,0.0001,7.6010565757751465,2470
0.05,202.244439,4,18,799,500.0,0.0,3971,0.0001,7.3068389892578125,2970
0.05,352.29955,4,19,899,500.0,0.0,4471,0.0001,7.679339408874512,3470
0.05,27.943645,4,20,999,500.0,0.0,4971,0.0001,7.631216526031494,3970
0.05,473.002478,4,21,1100,500.0,0.0,5471,0.0001,5.0142951011657715,4470
0.05,-90.467083,4,22,1200,500.0,0.0,5971,0.0001,6.483952045440674,4970
0.05,495.372574,4,23,1300,500.0,0.0,6471,0.0001,7.413172245025635,5470
0.05,236.228096,4,24,1401,500.0,0.0,6971,0.0001,6.5896711349487305,5970
0.05,288.387299,4,25,1501,500.0,0.0,7471,0.0001,6.200464725494385,6470
0.05,491.469084,4,26,1601,500.0,0.0,7971,0.0001,5.266061782836914,6970
0.05,592.144015,4,27,1702,500.0,0.0,8471,0.0001,6.328151226043701,7470
0.05,236.203504,4,28,1802,500.0,0.0,8971,0.0001,5.326922416687012,7970
0.05,-281.112552,4,29,1902,500.0,0.0,9471,0.0001,4.918520927429199,8470
0.05,519.265214,4,30,1913,54.0,1.0,9525,0.0001,9.010261535644531,8524
0.05,117.978546,4,31,2014,500.0,0.0,10025,0.0001,4.639342784881592,9024
0.05,-941.826017,4,32,2091,385.0,-1.0,10410,0.0001,4.520296096801758,9409
0.05,291.709075,4,33,2191,500.0,0.0,10910,0.0001,4.493535041809082,9909
0.05,573.54396,4,34,2206,70.0,1.0,10980,0.0001,4.401252746582031,9979
0.05,43.084521,4,35,2306,500.0,0.0,11480,0.0001,3.0723037719726562,10479
0.05,756.353888,4,36,2341,176.0,1.0,11656,0.0001,3.0217714309692383,10655
0.05,613.563373,4,37,2361,96.0,1.0,11752,0.0001,3.6129865646362305,10751
0.05,529.653545,4,38,2379,89.0,1.0,11841,0.0001,2.9195966720581055,10840
0.05,-207.544178,4,39,2380,6.0,-1.0,11847,0.0001,3.261338949203491,10846
0.05,540.447992,4,40,2396,78.0,1.0,11925,0.0001,2.949399471282959,10924
0.05,466.122079,4,41,2412,80.0,1.0,12005,0.0001,3.2765450477600098,11004
0.05,726.853963,4,42,2441,142.0,1.0,12147,0.0001,3.708066463470459,11146
0.05,436.286617,4,43,2452,52.0,1.0,12199,0.0001,2.494022846221924,11198
0.05,423.06806,4,44,2462,49.0,1.0,12248,0.0001,3.2853236198425293,11247
0.05,602.66608,4,45,2486,118.0,1.0,12366,0.0001,4.574673652648926,11365
0.05,484.923546,4,46,2500,73.0,1.0,12439,0.0001,3.9774727821350098,11438
0.05,390.568208,4,47,2509,43.0,1.0,12482,0.0001,3.774672508239746,11481
0.05,123.711991,4,48,2529,100.0,-1.0,12582,0.0001,4.1045379638671875,11581
0.05,692.28248,4,49,2553,115.0,1.0,12697,0.0001,3.158703565597534,11696
0.05,564.011474,4,50,2575,108.0,1.0,12805,0.0001,4.811586380004883,11804
0.05,400.911679,4,51,2589,71.0,1.0,12876,0.0001,3.7129034996032715,11875
0.05,424.061683,4,52,2599,51.0,1.0,12927,0.0001,3.899333953857422,11926
0.05,435.116483,4,53,2615,75.0,1.0,13002,0.0001,4.83774995803833,12001
0.05,443.465596,4,54,2633,89.0,1.0,13091,0.0001,3.4554929733276367,12090
0.05,729.668748,4,55,2657,120.0,1.0,13211,0.0001,3.615065574645996,12210
0.05,778.027489,4,56,2699,208.0,1.0,13419,0.0001,4.161362171173096,12418
0.05,110.001051,4,57,2724,125.0,-1.0,13544,0.0001,4.267601490020752,12543
0.05,628.021835,4,58,2743,91.0,1.0,13635,0.0001,3.917728900909424,12634
0.05,412.500613,4,59,2758,75.0,1.0,13710,0.0001,3.8840975761413574,12709
0.05,468.064145,4,60,2778,101.0,1.0,13811,0.0001,7.230216026306152,12810
0.05,549.562772,4,61,2793,73.0,1.0,13884,0.0001,6.6423163414001465,12883
0.05,423.925478,4,62,2803,47.0,1.0,13931,0.0001,3.4530766010284424,12930
0.05,759.354986,4,63,2826,113.0,1.0,14044,0.0001,3.5570497512817383,13043
0.05,684.357471,4,64,2845,97.0,1.0,14141,0.0001,4.876081466674805,13140
0.05,581.829954,4,65,2862,82.0,1.0,14223,0.0001,3.7387733459472656,13222
0.05,-183.650573,4,66,2864,8.0,-1.0,14231,0.0001,4.283056735992432,13230
0.05,409.691939,4,67,2873,45.0,1.0,14276,0.0001,3.036794662475586,13275
0.05,657.362534,4,68,2946,364.0,1.0,14640,0.0001,3.8903446197509766,13639
0.05,750.107928,4,69,2972,130.0,1.0,14770,0.0001,4.661426544189453,13769
0.05,579.628716,4,70,2988,79.0,1.0,14849,0.0001,5.274408340454102,13848
0.05,140.183061,4,71,3012,119.0,-1.0,14968,0.0001,4.628620147705078,13967
0.05,645.319163,4,72,3030,89.0,1.0,15057,0.0001,4.944835662841797,14056
0.05,-209.512394,4,73,3032,5.0,-1.0,15062,0.0001,4.1825666427612305,14061
0.05,735.335581,4,74,3056,120.0,1.0,15182,0.0001,4.143775463104248,14181
0.05,576.444137,4,75,3156,500.0,0.0,15682,0.0001,5.699396133422852,14681
0.05,416.587773,4,76,3256,500.0,0.0,16182,0.0001,4.84959077835083,15181
0.05,401.41311,4,77,3266,45.0,1.0,16227,0.0001,6.805787086486816,15226
0.05,586.07405,4,78,3293,135.0,1.0,16362,0.0001,4.225917339324951,15361
0.05,-185.520513,4,79,3295,8.0,-1.0,16370,0.0001,4.698687553405762,15369
0.05,535.858777,4,80,3311,79.0,1.0,16449,0.0001,3.899911880493164,15448
0.05,678.482098,4,81,3342,154.0,1.0,16603,0.0001,4.9204559326171875,15602
0.05,614.858714,4,82,3368,129.0,1.0,16732,0.0001,4.595520973205566,15731
0.05,604.937785,4,83,3384,81.0,1.0,16813,0.0001,4.115012168884277,15812
0.05,569.56083,4,84,3400,76.0,1.0,16889,0.0001,4.644351959228516,15888
0.05,463.079765,4,85,3422,112.0,1.0,17001,0.0001,3.4708001613616943,16000
0.05,636.524322,4,86,3443,101.0,1.0,17102,0.0001,4.431540489196777,16101
0.05,163.845249,4,87,3543,500.0,0.0,17602,0.0001,4.603416442871094,16601
0.05,261.556858,4,88,3545,10.0,1.0,17612,0.0001,4.774473190307617,16611
0.05,471.203497,4,89,3565,99.0,1.0,17711,0.0001,4.439351558685303,16710
0.05,296.511124,4,90,3666,500.0,0.0,18211,0.0001,6.795124053955078,17210
0.05,614.482148,4,91,3688,108.0,1.0,18319,0.0001,7.3404436111450195,17318
0.05,588.941706,4,92,3707,98.0,1.0,18417,0.0001,4.073692798614502,17416
0.05,557.865352,4,93,3724,82.0,1.0,18499,0.0001,5.597636699676514,17498
0.05,642.328497,4,94,3740,79.0,1.0,18578,0.0001,3.9667248725891113,17577
