rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/exploration_rate,status,time/time_elapsed,time/episodes,train/loss,train/learning_rate,train/n_updates
-72.636796,60,4,60.0,0.9715,-1.0,12,1,,,
-799.596555,295,4,235.0,0.8598749999999996,-1.0,59,2,,,
-311.595234,312,4,17.0,0.8518000000000006,-1.0,63,3,,,
-200.0,313,4,1.0,0.8513249999999996,1.0,63,4,,,
-326.024588,339,4,26.0,0.8389749999999998,-1.0,69,5,,,
-316.446709,359,4,20.0,0.8294749999999999,-1.0,73,6,,,
-59.133692,642,4,283.0,0.69505,-1.0,130,7,,,
-568.486293,729,4,87.0,0.6537250000000001,-1.0,147,8,,,
-301.895162,794,4,65.0,0.6228500000000005,-1.0,160,9,,,
-373.017734,820,4,26.0,0.6104999999999997,-1.0,166,10,,,
10.765286,917,4,97.0,0.5644250000000005,-1.0,185,11,,,
-608.554859,952,4,35.0,0.5478000000000003,-1.0,193,12,,,
-321.156324,969,4,17.0,0.5397250000000001,-1.0,196,13,,,
261.442551,1469,4,500.0,0.30222499999999997,-1.0,297,14,8.791512489318848,0.0001,468
39.137349,1969,4,500.0,0.06472499999999981,-1.0,397,15,12.442724227905273,0.0001,968
680.927541,2326,4,357.0,0.05,-1.0,469,16,11.315929412841797,0.0001,1325
73.018008,2826,4,500.0,0.05,-1.0,569,17,14.519759178161621,0.0001,1825
127.141355,3326,4,500.0,0.05,-1.0,669,18,16.669076919555664,0.0001,2325
150.565714,3826,4,500.0,0.05,-1.0,770,19,20.30742835998535,0.0001,2825
256.379935,4326,4,500.0,0.05,-1.0,870,20,18.0921573638916,0.0001,3325
7.957391,4826,4,500.0,0.05,-1.0,970,21,16.178585052490234,0.0001,3825
-51.930317,5326,4,500.0,0.05,-1.0,1070,22,18.265329360961914,0.0001,4325
540.469232,5400,4,74.0,0.05,-1.0,1085,23,15.800384521484375,0.0001,4399
338.3733,5900,4,500.0,0.05,-1.0,1186,24,14.83908748626709,0.0001,4899
300.713203,6400,4,500.0,0.05,-1.0,1286,25,13.413320541381836,0.0001,5399
767.38709,6510,4,110.0,0.05,-1.0,1308,26,13.495427131652832,0.0001,5509
-366.897205,6535,4,25.0,0.05,-1.0,1313,27,14.147872924804688,0.0001,5534
550.299058,7035,4,500.0,0.05,-1.0,1413,28,14.019585609436035,0.0001,6034
458.558645,7535,4,500.0,0.05,-1.0,1514,29,12.003387451171875,0.0001,6534
197.257656,8035,4,500.0,0.05,-1.0,1614,30,14.11037826538086,0.0001,7034
462.534326,8535,4,500.0,0.05,-1.0,1714,31,11.67278003692627,0.0001,7534
181.506939,9035,4,500.0,0.05,-1.0,1814,32,9.615007400512695,0.0001,8034
411.487,9535,4,500.0,0.05,-1.0,1915,33,11.92839241027832,0.0001,8534
-207.18339,9541,4,6.0,0.05,-1.0,1916,34,8.951016426086426,0.0001,8540
-323.4923,9558,4,17.0,0.05,-1.0,1920,35,9.319788932800293,0.0001,8557
378.833725,10058,4,500.0,0.05,-1.0,2020,36,7.55412483215332,0.0001,9057
200.216589,10558,4,500.0,0.05,-1.0,2120,37,6.563140869140625,0.0001,9557
349.700702,11058,4,500.0,0.05,-1.0,2221,38,6.896186351776123,0.0001,10057
263.384044,11558,4,500.0,0.05,-1.0,2321,39,7.610334873199463,0.0001,10557
599.087326,12058,4,500.0,0.05,-1.0,2421,40,5.085223197937012,0.0001,11057
294.318502,12558,4,500.0,0.05,-1.0,2521,41,4.845335006713867,0.0001,11557
340.925022,13058,4,500.0,0.05,-1.0,2621,42,4.503229141235352,0.0001,12057
410.511493,13558,4,500.0,0.05,-1.0,2722,43,3.909289598464966,0.0001,12557
305.807297,14058,4,500.0,0.05,-1.0,2822,44,4.337536334991455,0.0001,13057
573.206125,14126,4,68.0,0.05,-1.0,2836,45,4.519036769866943,0.0001,13125
-310.313327,14142,4,16.0,0.05,-1.0,2839,46,4.206094741821289,0.0001,13141
266.943854,14642,4,500.0,0.05,-1.0,2939,47,4.624878883361816,0.0001,13641
325.331307,15142,4,500.0,0.05,-1.0,3040,48,4.136856555938721,0.0001,14141
330.918031,15642,4,500.0,0.05,-1.0,3140,49,4.478883743286133,0.0001,14641
290.309066,16142,4,500.0,0.05,-1.0,3240,50,4.990180015563965,0.0001,15141
-17.431948,16642,4,500.0,0.05,-1.0,3341,51,3.740457534790039,0.0001,15641
394.617374,16679,4,37.0,0.05,-1.0,3348,52,4.991161823272705,0.0001,15678
-178.837415,16686,4,7.0,0.05,-1.0,3350,53,4.464715957641602,0.0001,15685
299.772111,17186,4,500.0,0.05,-1.0,3450,54,4.2320685386657715,0.0001,16185
271.029418,17686,4,500.0,0.05,-1.0,3551,55,4.304415225982666,0.0001,16685
170.548135,18186,4,500.0,0.05,-1.0,3651,56,4.332784652709961,0.0001,17185
227.342644,18686,4,500.0,0.05,-1.0,3751,57,5.210530757904053,0.0001,17685
-63.500569,19186,4,500.0,0.05,-1.0,3851,58,4.265192985534668,0.0001,18185
306.14885,19686,4,500.0,0.05,-1.0,3952,59,3.878415107727051,0.0001,18685
-232.790081,19692,4,6.0,0.05,-1.0,3953,60,3.806853771209717,0.0001,18691
