time/total_timesteps,time/fps,rollout/exploration_rate,rollout/ep_len_mean,status,time/time_elapsed,time/episodes,rollout/ep_rew_mean
119,4,0.9988695000000002,119.0,-1.0,24,1,-518.387411
546,4,0.9948129999999996,427.0,-1.0,109,2,-548.914223
665,4,0.9936824999999998,119.0,-1.0,133,3,-493.673067
736,4,0.9930080000000004,71.0,-1.0,148,4,-67.454581
752,4,0.9928560000000002,16.0,-1.0,151,5,-323.717653
877,4,0.9916684999999998,125.0,-1.0,177,6,-1104.174439
1322,4,0.9874409999999996,445.0,-1.0,266,7,-349.547227
1488,4,0.9858639999999996,166.0,-1.0,299,8,-658.711131
1680,4,0.9840399999999998,192.0,-1.0,338,9,-1046.780793
1695,4,0.9838975,15.0,-1.0,341,10,-284.261346
1709,4,0.9837645000000004,14.0,-1.0,344,11,-257.641975
1728,4,0.9835840000000005,19.0,-1.0,348,12,-290.274412
1891,4,0.9820355000000003,163.0,-1.0,381,13,-423.124139
1953,4,0.9814465000000002,62.0,1.0,394,14,491.130696
2014,4,0.9808670000000004,61.0,-1.0,406,15,-298.663458
2075,4,0.9802874999999995,61.0,-1.0,419,16,-505.683584
2248,4,0.9786439999999997,173.0,-1.0,454,17,101.73078
2263,4,0.9785014999999999,15.0,-1.0,457,18,-278.202042
2323,4,0.9779315000000004,60.0,-1.0,469,19,-545.25513
2346,4,0.9777130000000004,23.0,-1.0,474,20,-346.057553
2505,4,0.9762025000000002,159.0,-1.0,506,21,-9.696542
2652,4,0.9748060000000002,147.0,-1.0,535,22,-257.751078
2717,4,0.9741885000000003,65.0,-1.0,549,23,-567.128855
2722,4,0.9741409999999999,5.0,-1.0,550,24,-225.12817
2744,4,0.9739320000000002,22.0,-1.0,554,25,-309.833847
2876,4,0.9726780000000002,132.0,-1.0,581,26,-129.905522
3089,4,0.9706545,213.0,-1.0,624,27,-806.738224
3214,4,0.9694669999999995,125.0,-1.0,649,28,243.701643
3359,4,0.9680895,145.0,-1.0,678,29,-867.725705
3426,4,0.9674529999999997,67.0,-1.0,692,30,-31.12788
3446,4,0.9672630000000005,20.0,-1.0,696,31,-318.73478
3490,4,0.9668450000000001,44.0,-1.0,705,32,-402.449913
3598,4,0.9658190000000001,108.0,-1.0,727,33,-723.564037
3666,4,0.9651730000000005,68.0,-1.0,741,34,-339.313195
3912,4,0.9628359999999998,246.0,-1.0,790,35,-79.277276
4000,4,0.962,88.0,-1.0,808,36,22.023324
4018,4,0.9618290000000004,18.0,-1.0,812,37,-321.234352
4112,4,0.960936,94.0,-1.0,831,38,-1263.287226
4231,4,0.9598055000000002,119.0,-1.0,855,39,-651.391912
4378,4,0.9584090000000001,147.0,-1.0,885,40,-1933.313754
4494,4,0.957307,116.0,1.0,908,41,663.177023
4522,4,0.9570409999999998,28.0,-1.0,914,42,-356.090877
4612,4,0.9561860000000004,90.0,-1.0,932,43,135.15151
4618,4,0.9561289999999999,6.0,-1.0,933,44,-214.066932
4969,4,0.9527945,351.0,-1.0,1004,45,-189.70769
5171,4,0.9508754999999997,202.0,-1.0,1045,46,144.53388
5192,4,0.9506760000000003,21.0,-1.0,1049,47,-351.404296
5258,4,0.9500490000000001,66.0,-1.0,1062,48,-518.486785
5268,4,0.9499539999999995,10.0,-1.0,1065,49,-228.226352
5387,4,0.9488234999999997,119.0,-1.0,1089,50,-267.089906
5444,4,0.948282,57.0,-1.0,1100,51,-0.515816
5455,4,0.9481775000000001,11.0,-1.0,1103,52,-278.89696
5513,4,0.9476265000000001,58.0,-1.0,1114,53,-86.396387
5541,4,0.9473604999999998,28.0,-1.0,1120,54,-493.258473
5700,4,0.9458499999999996,159.0,1.0,1152,55,608.628486
5717,4,0.9456885000000003,17.0,-1.0,1156,56,-319.126599
5929,4,0.9436745000000004,212.0,-1.0,1199,57,-509.490347
6017,4,0.9428384999999996,88.0,-1.0,1216,58,-443.21925
6263,4,0.9405014999999999,246.0,-1.0,1266,59,133.479265
6373,4,0.9394565000000004,110.0,-1.0,1288,60,-460.141754
6440,4,0.93882,67.0,-1.0,1302,61,-661.727269
6544,4,0.937832,104.0,-1.0,1323,62,-215.424047
6683,4,0.9365115,139.0,-1.0,1351,63,-1089.489411
6835,4,0.9350674999999997,152.0,-1.0,1381,64,-546.146536
6902,4,0.9344310000000003,67.0,-1.0,1395,65,-543.696438
6973,4,0.9337565,71.0,-1.0,1409,66,-420.467706
7021,4,0.9333004999999994,48.0,-1.0,1419,67,-554.628922
