rollout/exploration_rate,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,status,rollout/ep_len_mean,time/fps,train/n_updates,train/learning_rate,train/loss
0.9815699999999995,39,194,1,-514.73205,-1.0,194.0,4,,,
0.9530700000000005,99,494,2,-527.291354,-1.0,300.0,4,293,0.0001,1.6134439706802368
0.9431900000000002,120,598,3,-510.680342,-1.0,104.0,4,397,0.0001,5.440408229827881
0.9337849999999996,140,697,4,-509.505896,-1.0,99.0,4,496,0.0001,1.519208550453186
0.9317900000000003,145,718,5,-501.94591,-1.0,21.0,4,517,0.0001,5.450055122375488
0.9301750000000003,148,735,6,-501.488353,-1.0,17.0,4,534,0.0001,5.473356246948242
0.9265649999999999,156,773,7,-505.725731,-1.0,38.0,4,572,0.0001,5.466827392578125
0.9215299999999995,167,826,8,-504.74455,-1.0,53.0,4,625,0.0001,13.242276191711426
0.9064249999999998,199,985,9,-511.887689,-1.0,159.0,4,784,0.0001,1.5824354887008667
0.9003450000000001,212,1049,10,-506.776855,-1.0,64.0,4,848,0.0001,9.438272476196289
0.8760249999999999,264,1305,11,-516.558259,-1.0,256.0,4,1104,0.0001,5.440557479858398
0.8714649999999996,273,1353,12,-503.463885,-1.0,48.0,4,1152,0.0001,1.5504257678985596
0.8688999999999997,279,1380,13,-503.125166,-1.0,27.0,4,1179,0.0001,1.5460097789764404
0.860255,298,1471,14,-508.343338,-1.0,91.0,4,1270,0.0001,5.442165374755859
0.82805,366,1810,15,-528.035032,-1.0,339.0,4,1609,0.0001,17.187522888183594
