rollout/exploration_rate,random_value,train/learning_rate,train/loss,train/n_updates
0.9957250000000005,0.12185163864452597,,,
0.9909749999999999,0.6348176711358597,,,
0.9862250000000005,0.600744070837395,,,
0.9814749999999999,0.2858458371430327,,,
0.9767250000000005,0.24358563376896392,,,
0.9719749999999999,0.1901879844055907,,,
0.9672250000000004,0.33606702125663,,,
0.962475,0.5521131964891407,,,
0.9577250000000005,0.3414242605646277,,,
0.9529749999999999,0.07408366174143122,,,
0.9482250000000004,0.950532067501733,0.0001,6.549296855926514,9
0.943475,0.9023171433128042,0.0001,5.9178361892700195,19
0.9387250000000005,0.7132592783884107,0.0001,7.060040473937988,29
0.9339749999999999,0.7799123499653863,0.0001,7.996993064880371,39
0.9292250000000004,0.9751711796570466,0.0001,8.242921829223633,49
0.9244749999999999,0.11666175220438679,0.0001,8.590790748596191,59
0.9197250000000003,0.014201783416154523,0.0001,10.668543815612793,69
0.9149749999999999,0.6283545859956272,0.0001,7.5383501052856445,79
0.9102250000000004,0.17204890305311638,0.0001,7.41792631149292,89
0.9054749999999999,0.514905466520119,0.0001,8.916662216186523,99
0.9007250000000004,0.41277185172376996,0.0001,7.220141410827637,109
0.8959749999999999,0.3096647351920645,0.0001,9.039192199707031,119
0.8912250000000004,0.13649965246858886,0.0001,9.39840316772461,129
