time/total_timesteps,rollout/ep_len_mean,time/fps,status,rollout/exploration_rate,time/time_elapsed,time/episodes,rollout/ep_rew_mean
89,89.0,4,-1.0,0.9915450000000006,18,1,-457.274518
99,10.0,4,-1.0,0.9905949999999996,20,2,-215.502365
240,141.0,4,-1.0,0.9772000000000004,48,3,-345.94117
252,12.0,4,-1.0,0.9760600000000004,51,4,-246.670016
403,151.0,4,-1.0,0.9617150000000002,82,5,-34.753268
498,95.0,4,-1.0,0.9526900000000001,101,6,-580.009612
607,109.0,4,-1.0,0.9423349999999998,123,7,-330.624369
612,5.0,4,-1.0,0.9418599999999999,124,8,-206.167077
776,164.0,4,-1.0,0.9262800000000001,157,9,-408.162645
1210,434.0,4,-1.0,0.88505,244,10,-2695.018403
1557,347.0,4,-1.0,0.8520850000000003,314,11,292.994737
1595,38.0,4,-1.0,0.8484749999999999,322,12,-434.34463
1658,63.0,4,-1.0,0.8424899999999996,335,13,-417.34656
1790,132.0,4,1.0,0.8299499999999997,361,14,792.09992
1909,119.0,4,-1.0,0.8186449999999995,385,15,-544.92303
2028,119.0,4,-1.0,0.8073400000000004,409,16,-660.598464
2174,146.0,4,-1.0,0.7934700000000002,439,17,-728.299638
2348,174.0,4,-1.0,0.7769400000000005,474,18,-185.419128
2621,273.0,4,-1.0,0.7510050000000005,529,19,-5213.769234
2662,41.0,4,1.0,0.7471100000000002,537,20,409.783656
2693,31.0,4,-1.0,0.744165,544,21,-161.997856
2723,30.0,4,-1.0,0.7413150000000003,550,22,-240.204571
3198,475.0,4,-1.0,0.69619,645,23,-11628.36623
3283,85.0,4,-1.0,0.6881149999999998,662,24,-155.629781
3325,42.0,4,-1.0,0.6841250000000001,671,25,-297.415088
3518,193.0,4,-1.0,0.6657900000000001,710,26,-4851.866932
3578,60.0,4,-1.0,0.6600899999999997,722,27,-302.303391
3638,60.0,4,-1.0,0.6543900000000004,734,28,-132.504752
3645,7.0,4,-1.0,0.6537250000000001,736,29,-231.79794
3684,39.0,4,-1.0,0.6500200000000003,744,30,-431.9717
3999,315.0,4,-1.0,0.6200950000000003,807,31,-549.61057
4121,122.0,4,-1.0,0.6085050000000003,832,32,-950.350165
4135,14.0,4,-1.0,0.607175,835,33,-264.786315
4422,287.0,4,-1.0,0.5799099999999997,893,34,-947.819617
4428,6.0,4,-1.0,0.5793400000000002,894,35,-242.260634
4546,118.0,4,1.0,0.5681299999999996,918,36,572.11625
4605,59.0,4,-1.0,0.5625249999999997,930,37,-390.952606
4765,160.0,4,1.0,0.5473250000000003,962,38,726.030898
4973,208.0,4,-1.0,0.5275649999999995,1004,39,-712.377589
5080,107.0,4,-1.0,0.5174000000000005,1026,40,-275.724074
