rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/fps,status,train/loss,train/learning_rate,train/n_updates
0.9776750000000004,47.0,9,47,-519.779846,1,4,-1.0,,,
0.9743499999999997,7.0,11,54,-233.316273,2,4,-1.0,,,
0.9610500000000001,28.0,17,82,-245.445216,3,4,-1.0,,,
0.7843499999999995,372.0,92,454,-428.684333,4,4,-1.0,,,
0.7682000000000002,34.0,99,488,370.771017,5,4,1.0,,,
0.7606,16.0,102,504,-300.309933,6,4,-1.0,,,
0.7131,100.0,122,604,-738.323233,7,4,-1.0,,,
0.6380499999999998,158.0,154,762,-1335.437207,8,4,-1.0,,,
0.6347250000000002,7.0,156,769,-205.091885,9,4,-1.0,,,
0.5055249999999997,272.0,210,1041,-917.765221,10,4,-1.0,12.012330055236816,0.0001,40
